x,y
-6.80742,-18.2169
-7.26134,-18.1709
-7.30559,-18.1599
-7.32205,-18.143
-7.32286,-18.062
-7.3036,-17.4281
-7.32652,-16.8062
-7.36426,-16.1929
-7.44178,-15.5513
-7.56519,-14.8005
-7.7048,-14.1913
-7.70964,-14.1707
-7.65714,-13.6464
-7.60907,-12.9847
-7.62508,-12.3637
-7.66459,-11.7825
-7.69138,-11.6038
-7.60752,-11.3627
-7.39752,-10.7669
-7.27379,-10.1517
-7.18359,-9.5141
-7.11655,-8.87361
-7.03927,-8.23669
-6.98149,-7.59986
-6.94648,-6.97034
-6.94004,-6.34559
-6.90169,-5.77961
-6.85714,-5.18445
-6.78459,-4.60583
-6.72155,-3.97227
-6.63694,-3.33856
-6.57432,-2.70688
-6.57138,-2.07982
-6.61285,-1.43004
-6.63122,-0.79465
-6.64347,-0.149328
-6.57388,0.488331
-6.54073,0.857849
-6.5353,0.875266
-6.53409,0.882084
-6.46155,0.877933
-6.01245,0.820979
-5.35412,0.732194
-4.70265,0.672824
-4.04583,0.630569
-3.41934,0.601422
-2.79294,0.574741
-2.17004,0.559652
-1.54347,0.531832
-0.914363,0.523043
-0.348555,0.510155
-0.16805,0.498713
-0.176568,0.501929
-0.177121,0.504204
-0.180092,0.496969
-0.169595,0.499653
-0.17197,0.486621
-0.221991,0.552755
-0.0472856,0.528733
0.654777,0.482135
1.27238,0.432481
1.86132,0.384278
2.45555,0.314488
3.04136,0.247686
3.59963,0.151142
4.22183,0.0457004
4.84921,-0.0754955
5.47295,-0.190216
6.0878,-0.28083
6.68572,-0.401395
7.30762,-0.504527
7.92788,-0.650534
8.3301,-0.734362
8.38071,-0.747803
8.82048,-1.06627
9.22649,-1.42666
9.57253,-1.84915
9.90623,-2.35728
10.1885,-2.89149
10.4108,-3.46188
10.6114,-4.01074
10.8211,-4.57811
11.025,-5.14962
11.2197,-5.74881
11.4033,-6.34791
11.5672,-6.94141
11.699,-7.48767
11.807,-8.05667
11.8949,-8.62274
11.97,-9.24611
12.0161,-9.86595
12.0494,-10.4834
12.029,-11.0914
11.9895,-11.6941
11.9261,-12.2938
11.8686,-12.7987
11.7756,-13.5333
11.6608,-14.1095
11.4982,-14.6719
11.3503,-15.2191
11.1967,-15.7867
11.0296,-16.3872
10.8737,-16.9893
10.717,-17.5826
10.5744,-18.1794
10.4041,-18.7663
10.2154,-19.3578
10.0216,-19.9349
9.90992,-20.2574
9.92165,-20.2379
9.94681,-20.234
9.95654,-20.2384
9.39015,-20.199
8.78132,-20.1604
8.13728,-20.0979
7.50828,-20.0593
6.87967,-20.0341
6.26592,-20.0396
5.64829,-20.0384
5.03042,-20.0364
4.38449,-20.1157
3.86495,-20.1069
3.39321,-20.064
3.11316,-20.0531
3.33285,-20.0699
3.01541,-19.9306
2.44479,-19.6723
1.86385,-19.4487
1.61005,-19.3414
1.27645,-19.3449
0.652231,-19.3641
0.0371655,-19.4164
-0.576185,-19.4174
-1.14826,-19.3026
-1.69031,-19.1743
-2.27189,-19.1093
-2.87821,-19.0264
-3.50367,-18.9823
-4.11906,-18.9359
-4.72236,-18.8525
-5.32618,-18.774
-5.87977,-18.7562
-5.83078,-18.7632
-5.82872,-18.7632
-6.15605,-18.4223
-6.51488,-18.0041
-6.89044,-17.5605
-7.26009,-17.1048
-7.33074,-17.0162
-7.33332,-16.9462
-7.40127,-16.4433
-7.48714,-15.8778
-7.6344,-15.2813
-7.77143,-14.729
-7.76938,-14.6874
-7.711,-14.0298
-7.67358,-13.4069
-7.66358,-12.7992
-7.70092,-12.1973
-7.65745,-11.6142
-7.61347,-10.863
-7.48625,-10.2535
-7.37315,-9.63688
-7.30842,-9.01009
-7.21891,-8.38337
-7.14096,-7.7522
-7.15877,-7.12328
-7.23462,-6.5089
-7.23107,-5.89896
-7.23316,-5.29017
-7.28873,-4.72706
-7.25561,-4.08368
-7.2251,-3.45065
-7.16562,-2.8199
-7.08318,-2.18498
-6.97063,-1.55338
-6.89159,-0.918964
-6.78704,-0.292194
-6.73014,0.352118
-6.6742,0.968819
-6.67224,1.01286
-6.66687,1.02281
-6.64886,1.03277
-6.18495,1.02698
-5.53928,1.02226
-4.92148,1.00504
-4.29493,0.962165
-3.67191,0.912164
-3.04806,0.833887
-2.42888,0.690914
-1.81183,0.540938
-1.20165,0.390283
-0.628361,0.237169
-0.0395666,0.154121
0.523799,0.0569633
0.8252,-0.00687634
0.806537,-0.0023161
1.30606,-0.116068
1.92556,-0.159051
2.55541,-0.169971
3.19514,-0.218509
3.82333,-0.282464
4.45918,-0.344329
5.0873,-0.375811
5.36877,-0.402507
5.36562,-0.403779
5.37063,-0.187447
5.35273,0.438515
5.32633,1.06397
5.28899,1.70824
5.23155,2.34917
5.13767,2.9852
5.06086,3.33017
5.06348,3.33964
5.06484,3.34018
5.06622,3.34278
5.07921,3.32513
5.09273,3.3199
5.10501,3.32046
5.1266,3.30298
5.13106,3.28849
5.08703,2.64837
5.03926,2.01505
4.95367,1.39844
4.86149,0.781813
4.74068,0.17211
4.70636,0.0184219
4.74235,0.0285193
4.80559,0.0182806
4.85144,0.0394593
4.85409,0.0650073
4.85348,0.0654809
4.86758,0.0743717
4.86809,0.0726023
4.98402,0.0036591
5.56008,-0.301321
6.13825,-0.502948
6.72738,-0.686326
6.96577,-0.756592
6.9522,-0.752126
6.95455,-0.841063
6.97237,-1.43194
6.97006,-2.05172
6.95682,-2.8401
6.94253,-3.11416
6.94065,-3.1231
6.9288,-3.1376
6.91476,-3.14161
6.89423,-3.14086
6.88833,-3.13042
6.89094,-3.11473
6.89184,-3.11345
6.87988,-3.11856
6.86492,-3.11559
6.85655,-3.11774
6.94153,-2.88671
7.04416,-2.61846
6.97473,-2.28193
6.91912,-1.99242
7.02766,-1.8695
7.47373,-1.43429
7.93156,-0.996456
7.95259,-0.971196
7.97725,-0.967109
7.98351,-0.970529
8.41072,-1.31986
8.88207,-1.6855
9.35927,-2.08954
9.69606,-2.39076
9.68382,-2.38351
9.73515,-2.3488
10.2855,-1.97068
10.7859,-1.55936
11.2527,-1.11126
11.4146,-0.934112
11.4225,-0.923884
11.4116,-0.919188
11.4157,-0.917916
11.418,-0.915659
11.5116,-1.04707
11.9524,-1.47199
12.4319,-1.84883
12.8815,-2.24943
12.9109,-2.27822
12.7677,-2.26523
12.7599,-2.26468
12.7639,-2.198
12.7377,-2.18198
12.9799,-2.10038
12.9913,-2.09502
12.99,-2.09507
13.0022,-2.0883
12.9303,-2.15589
12.4863,-2.60216
12.0524,-3.03358
11.5201,-3.35323
10.9651,-3.6201
10.4325,-3.84014
10.4463,-3.83255
10.4504,-3.79741
10.5772,-4.11052
10.7996,-4.65918
10.8872,-4.91691
10.8859,-4.89247
10.8994,-4.86635
10.4053,-5.08043
9.82698,-5.29419
9.24223,-5.49663
8.64411,-5.74675
8.36213,-5.88012
8.07103,-5.8709
7.63291,-5.8378
7.63653,-5.83657
7.69069,-5.81104
7.6935,-5.80635
7.69014,-5.81076
7.69434,-5.81074
7.6932,-5.81098
7.68638,-5.81496
7.68502,-5.8152
7.71673,-5.81645
8.3777,-5.82512
9.02225,-5.86228
9.36333,-5.89697
9.33976,-5.89404
9.35114,-5.89782
9.35584,-5.90463
9.32884,-6.44218
9.30767,-7.08341
9.24086,-7.72245
9.19972,-8.37097
9.15564,-8.84092
9.15354,-8.84736
9.16051,-8.84229
9.17835,-8.84019
9.18718,-8.84477
9.1867,-8.84762
9.18968,-8.83253
9.19427,-8.82737
9.19311,-8.82814
9.20413,-8.80614
9.34346,-8.18268
9.46459,-7.54565
9.54775,-6.90817
9.59255,-6.43765
9.59196,-6.43704
9.58883,-6.44273
9.85103,-6.41783
10.4471,-6.38382
11.0788,-6.36843
11.4324,-6.38487
11.4257,-6.38271
11.4166,-6.34776
11.4024,-6.74605
11.3445,-7.36223
11.2652,-7.87252
11.2762,-7.85012
11.5308,-7.91928
12.1164,-8.04345
12.672,-8.18619
13.2457,-8.35909
13.8637,-8.56861
14.4597,-8.82713
14.9163,-9.0357
14.9248,-9.04045
14.9432,-9.06477
14.9446,-9.07022
14.9434,-9.07177
14.9461,-9.07128
14.9486,-9.07153
14.9534,-9.08171
14.9542,-9.09083
14.9526,-9.09421
14.9534,-9.09326
14.9497,-9.07718
14.9542,-9.07862
14.9605,-9.08116
14.5317,-8.92977
13.9306,-8.74897
13.3265,-8.54421
12.7143,-8.37277
12.0997,-8.19951
11.6277,-8.09817
11.6327,-8.09708
11.6402,-8.08679
11.6272,-8.31634
11.5726,-8.92089
11.4946,-9.53249
11.4339,-10.1552
11.3979,-10.7786
11.3995,-11.3947
11.339,-12.0159
11.2165,-12.6428
11.2813,-13.209
11.3629,-13.786
11.3952,-14.4798
11.3953,-14.9249
11.3988,-14.9131
11.641,-14.9381
12.234,-15.0113
12.8168,-15.1732
13.387,-15.3775
14.0091,-15.603
14.3669,-15.7576
14.3645,-15.7387
14.3854,-15.6962
14.3798,-15.685
14.3118,-15.6669
13.6991,-15.4944
13.1118,-15.3081
12.5175,-15.1678
11.9237,-15.0241
11.4012,-14.9066
11.2328,-14.8648
11.2544,-14.84
11.1942,-15.233
11.1094,-15.8533
11.0117,-16.4276
10.9136,-16.9695
10.8035,-17.5381
10.6621,-18.1171
10.4859,-18.6858
10.28,-19.2888
10.0389,-19.8894
9.77495,-20.4659
9.67905,-20.652
9.67657,-20.6418
9.6774,-20.6422
9.68088,-20.6425
10.0381,-20.7234
10.6457,-20.8668
11.2067,-21.0315
11.816,-21.2357
12.4044,-21.4844
12.9929,-21.7081
13.6245,-21.8457
13.7461,-21.8753
13.7664,-21.873
13.7881,-21.8316
13.8065,-21.8789
13.8135,-21.8783
13.8252,-21.8699
13.8265,-21.8615
13.8252,-21.8419
13.8327,-21.8263
13.85,-21.8183
13.7127,-21.7663
13.1196,-21.485
12.5394,-21.2125
11.9346,-20.9966
11.334,-20.8282
10.7574,-20.6733
10.7654,-20.6768
10.7584,-20.6686
10.7355,-20.6475
10.5565,-20.6481
9.98571,-20.5735
9.38067,-20.4871
8.77099,-20.4219
8.8217,-20.4362
8.76116,-20.4428
8.71073,-20.9694
8.66416,-21.5462
8.60288,-22.1189
8.5537,-22.4803
8.5467,-22.4855
8.51542,-22.556
8.55582,-22.6132
8.64753,-22.642
8.64959,-22.6435
8.64182,-22.6248
8.63087,-22.5904
8.49317,-21.9377
8.31925,-21.2983
8.11355,-20.6757
7.88111,-20.0628
7.74558,-19.7555
7.73945,-19.744
7.16043,-19.6125
6.57268,-19.5456
5.96103,-19.5413
5.33815,-19.522
4.80027,-19.5508
4.25222,-19.5981
3.71656,-19.6768
3.17108,-19.7487
2.99299,-19.7709
3.00045,-19.7623
2.90716,-20.3668
2.87096,-20.9867
2.79457,-21.6571
2.70208,-22.257
2.62008,-22.6355
2.62053,-22.6508
2.65842,-22.6732
2.69102,-22.6595
2.65372,-22.4237
2.58728,-21.8108
2.59061,-21.1616
2.54501,-20.5129
2.55202,-19.9215
2.5365,-19.534
2.53229,-19.5106
2.52215,-19.5073
1.9246,-19.3569
1.44998,-19.2218
1.48324,-19.232
1.48977,-19.2271
1.49916,-19.7096
1.50098,-20.3284
1.35494,-20.9285
1.17404,-21.5339
1.00067,-22.1049
0.802316,-22.682
0.932461,-22.3618
1.05372,-22.1153
1.03434,-22.1402
0.932078,-22.1366
0.824956,-22.0887
0.762279,-22.0102
0.851611,-21.6439
1.05809,-21.0348
1.25974,-20.4251
1.41807,-19.8293
1.52224,-19.3043
1.52543,-19.2909
1.45678,-19.2813
0.793974,-19.3041
0.150134,-19.3075
-0.472728,-19.2801
-1.07135,-19.215
-1.45939,-19.1393
-2.06979,-19.043
-2.68358,-18.9403
-3.28203,-18.835
-3.8515,-18.7036
-4.34061,-18.5631
-4.33494,-18.5619
-4.39757,-18.7254
-4.5093,-19.3464
-4.4398,-19.9856
-4.196,-20.5943
-4.00273,-21.1799
-4.0827,-21.8159
-4.09564,-21.9653
-4.05733,-21.981
-4.02735,-21.9525
-4.04256,-21.6556
-4.06322,-21.1023
-4.07278,-20.5005
-4.19016,-19.8866
-4.38742,-19.2736
-4.50736,-18.7834
-4.51021,-18.77
-4.69152,-18.7516
-5.28814,-18.6964
-5.87843,-18.7149
-5.88639,-18.7129
-5.90016,-18.8092
-5.96174,-19.4154
-6.00893,-19.9794
-6.0615,-20.571
-6.098,-21.1944
-6.18474,-21.8102
-6.22587,-22.0999
-6.135,-21.5135
-6.07344,-21.2411
-6.05454,-21.2203
-6.01924,-21.212
-6.00424,-21.2202
-5.99556,-21.2315
-5.97385,-21.0059
-5.92746,-20.4223
-5.96937,-19.9747
-6.14067,-19.3992
-6.32934,-18.8082
-6.42566,-18.5361
-6.37878,-18.583
-6.78117,-18.7501
-7.22701,-18.8934
-7.8198,-19.0532
-8.41626,-19.182
-8.97881,-19.3293
-9.51251,-19.5061
-9.90592,-19.6433
-9.89165,-19.6367
-9.86933,-19.7043
-9.84588,-19.7718
-9.82711,-19.7663
-9.82089,-19.7621
-9.83182,-19.7995
-9.50372,-19.5862
-8.94335,-19.2658
-8.4338,-18.8972
-8.00384,-18.5288
-7.52783,-18.2074
-7.01892,-17.8643
-6.52931,-17.4759
-6.02277,-17.0491
-5.59645,-16.7263
-5.5717,-16.7248
-5.56185,-16.7305
-5.60121,-16.6891
-5.60521,-16.679
-5.59536,-16.6879
-5.57645,-16.6733
-6.04841,-16.7274
-6.60078,-16.7068
-7.22764,-16.675
-7.86191,-16.6582
-8.48337,-16.5956
-9.24594,-16.4834
-9.86311,-16.3734
-10.4761,-16.2662
-11.0941,-16.1557
-11.1101,-16.1535
-11.1314,-16.1759
-11.131,-16.2216
-11.1023,-16.2404
-10.7768,-16.2337
-10.1398,-16.1902
-9.49986,-16.161
-8.86288,-16.0955
-8.24091,-15.9983
-7.59315,-15.8925
-7.45097,-15.8626
-7.45016,-15.8639
-7.51425,-15.307
-7.58099,-14.7037
-7.58197,-14.6911
-7.57519,-14.6919
-8.15365,-14.6573
-8.7568,-14.5686
-9.2591,-14.5337
-9.2379,-14.5332
-9.23785,-14.5332
-9.24,-14.5242
-9.22987,-14.5003
-9.20893,-14.4893
-8.66468,-14.5016
-8.01673,-14.6089
-7.43688,-14.745
-7.3523,-14.7656
-7.34171,-14.7455
-7.37989,-14.4712
-7.44687,-13.8449
-7.49318,-13.2021
-7.5094,-12.5571
-7.49963,-11.9225
-7.47283,-11.2867
-7.40734,-10.6402
-7.4368,-10.0547
-7.43452,-9.50704
-7.47933,-8.89706
-7.47832,-8.86023
-7.54476,-8.82975
-8.12183,-8.75935
-8.54347,-8.7119
-8.52988,-8.71099
-8.53016,-8.71229
-8.526,-8.72161
-8.49634,-8.72225
-7.86078,-8.60877
-7.20722,-8.52573
-7.11565,-8.51494
-7.11144,-8.50018
-7.1027,-7.91599
-7.12831,-7.36438
-7.12849,-7.36346
-7.3363,-7.34218
-7.94769,-7.30954
-8.55823,-7.30831
-9.15512,-7.29453
-9.34679,-7.28106
-9.33145,-7.28723
-9.46133,-7.00988
-9.69565,-6.42847
-9.79601,-6.19463
-9.79716,-6.15345
-9.78268,-6.10837
-9.7479,-6.07349
-9.70488,-6.07752
-9.6917,-6.08862
-9.40043,-6.49216
-9.01453,-6.98727
-8.78314,-7.21031
-8.20019,-7.28774
-7.5909,-7.3405
-7.62649,-7.36409
-7.65193,-7.37408
-7.57251,-7.05691
-7.43554,-6.42085
-7.35069,-5.76404
-7.30344,-5.10322
-7.32491,-4.46859
-7.38963,-3.84061
-7.38295,-3.20917
-7.37351,-2.57902
-7.41794,-1.94584
-7.48891,-1.34457
-7.52342,-1.13589
-7.52614,-1.13572
-8.11713,-1.11075
-8.73754,-0.990925
-9.33845,-0.879866
-9.34424,-0.879596
-9.34322,-0.87837
-9.34852,-0.874181
-9.33075,-0.880536
-9.30964,-0.869452
-9.28553,-0.855117
-9.06657,-0.894436
-8.48257,-1.0371
-7.89765,-1.18628
-7.3607,-1.33343
-7.37,-1.33172
-7.36268,-1.2901
-7.2451,-0.683863
-7.05869,-0.0916046
-6.95966,0.529677
-6.86215,1.1429
-6.77971,1.76694
-6.69461,2.3648
-6.59631,2.96707
-6.48102,3.5361
-6.37083,4.0912
-6.3184,4.34017
-6.32177,4.35428
-6.36117,4.36008
-6.38953,4.33747
-6.38737,4.32413
-6.39515,4.32919
-6.41655,4.33987
-6.42298,4.3445
-6.42096,4.34038
-6.45041,4.09325
-6.53523,3.52756
-6.61699,2.90026
-6.71672,2.27282
-6.8077,1.64136
-6.92195,1.01678
-6.95278,0.82417
-6.95454,0.824871
-6.60167,0.821534
-5.97706,0.796664
-5.35538,0.736796
-4.76325,0.695779
-4.17877,0.629849
-3.5866,0.580995
-2.93103,0.497449
-2.27659,0.410204
-1.62873,0.29
-1.10875,0.187486
-1.08346,0.19825
-1.06848,0.307168
-1.03209,0.966659
-0.976414,1.61083
-0.890841,2.22111
-0.850836,2.83235
-0.807163,3.41812
-0.799969,3.58179
-0.80688,3.59063
-0.796503,3.59103
-0.777523,3.60152
-0.762306,3.59142
-0.742971,3.57763
-0.714527,3.5683
-0.692285,3.54833
-0.685512,3.53247
-0.805162,2.9762
-0.957225,2.43418
-1.00789,2.23422
-0.906849,1.59489
-0.871514,1.14515
-0.871847,1.19452
-0.929282,0.554593
-1.14598,-0.0401933
-1.30505,-0.371737
-1.30495,-0.372576
-1.28831,-0.39021
-1.26054,-0.400891
-1.25105,-0.380784
-1.25242,-0.376701
-1.56693,-0.224493
-2.10257,0.0413769
-2.63441,0.360345
-3.18565,0.656052
-3.7971,0.767893
-4.39561,0.7202
-4.40961,0.71564
-4.69132,0.300368
-5.04709,-0.216679
-5.33789,-0.633394
-5.75378,-1.18033
-6.12821,-1.62513
-6.54761,-2.11607
-6.86775,-2.49412
-6.87546,-2.50509
-6.86883,-2.98116
-6.83901,-3.54221
-6.78298,-4.11403
-6.73423,-4.7571
-6.66887,-5.39276
-6.69318,-5.50722
-6.84175,-6.05732
-6.95798,-6.61427
-7.06506,-7.14968
-7.18496,-7.73125
-7.30224,-8.23252
-7.23123,-8.49529
-7.08214,-9.15924
-7.09689,-9.68044
-7.12332,-10.3068
-7.18049,-10.9211
-7.24623,-11.535
-7.34095,-12.135
-7.45343,-12.6958
-7.5757,-13.1711
-7.57587,-13.1698
-7.40935,-13.7368
-7.23579,-14.332
-7.07204,-14.9428
-6.91526,-15.55
-6.75228,-16.2075
-6.6581,-16.8431
-6.60891,-17.4671
-6.60581,-18.063
-6.62379,-18.5189
-6.61903,-18.5436
-6.63757,-18.5362
-6.08976,-18.519
-5.49321,-18.5398
-4.87321,-18.5992
-4.25673,-18.6729
-3.64941,-18.7866
-3.12923,-18.9006
-2.51829,-19.0321
-1.9009,-19.1129
-1.2762,-19.2418
-1.09742,-19.2871
-0.69113,-19.224
-0.113604,-19.1325
0.493169,-19.096
1.12621,-19.1297
1.72934,-19.2992
2.33243,-19.4712
2.96516,-19.499
3.58945,-19.4846
4.1771,-19.5236
4.72356,-19.5947
5.25204,-19.6839
5.72146,-19.792
6.16534,-19.9109
6.76052,-20.0701
7.3489,-20.2412
7.96915,-20.3657
8.58631,-20.4421
9.20419,-20.4793
9.82049,-20.5542
10.2665,-20.6084
10.2999,-20.6019
10.3081,-20.5939
10.3109,-20.6228
10.3139,-20.652
10.2898,-20.3205
10.2448,-19.7357
10.3177,-19.1537
10.4501,-18.5514
10.5546,-17.9453
10.6523,-17.3366
10.7814,-16.7161
10.8943,-16.1073
11.0013,-15.5011
11.0912,-14.8977
11.1715,-14.3042
11.2202,-13.7754
11.2623,-13.1774
11.2819,-12.5821
11.285,-11.9861
11.2618,-11.3667
11.2406,-10.7486
11.2347,-10.1304
11.2113,-9.51842
11.1958,-8.90947
11.1717,-8.29699
11.158,-7.71231
11.1354,-7.09813
11.1105,-6.51464
11.0705,-5.9262
11.0035,-5.32226
10.9514,-4.6792
10.9276,-4.27794
10.9569,-4.30116
10.4933,-3.9446
10.0528,-3.54745
9.68547,-3.07866
9.33577,-2.58175
8.99614,-2.04833
8.64296,-1.55532
8.24752,-1.0763
7.8348,-0.646898
7.59924,-0.428254
7.49819,-0.414548
6.94232,-0.357592
6.327,-0.316528
5.71941,-0.252397
5.08174,-0.25445
4.4697,-0.206544
3.8453,-0.168174
3.07595,-0.132832
2.48974,-0.119735
1.93057,-0.0586706
1.33491,-0.0355871
0.718676,-0.00189617
0.0965629,0.0242282
0.0417043,0.0285376
0.0483779,0.0284197
-0.579098,0.0311414
-1.20817,-0.00514522
-1.36982,-0.0123386
-1.35298,-0.00390801
-1.36421,-0.167308
-1.38266,-0.730626
-1.43443,-1.36185
-1.53732,-2.01652
-1.66029,-2.67078
-1.7983,-3.32335
-1.84252,-3.4979
-1.84318,-3.50193
-1.79239,-3.52557
-2.11134,-3.39882
-2.70043,-3.26946
-3.31492,-3.09121
-3.27006,-3.091
-3.2208,-3.09696
-3.22433,-3.13398
-3.18045,-3.179
-3.18845,-3.18738
-3.16448,-3.14429
-3.15119,-3.12885
-3.18407,-3.1411
-2.89161,-3.20695
-2.31397,-3.30582
-1.7294,-3.37537
-1.04501,-3.45309
-0.39527,-3.54364
0.0474177,-3.61163
0.0995343,-3.61852
0.128548,-3.49982
0.101288,-3.45032
0.193647,-3.47085
0.186015,-3.47845
0.0414748,-4.10527
-0.141572,-4.77488
-0.284336,-5.26158
-0.289626,-5.26891
-0.267146,-5.25726
-0.539422,-5.19474
-1.1186,-5.10653
-1.67404,-5.03469
-1.65515,-5.03431
-1.64255,-5.02599
-1.64368,-5.02884
-1.64411,-5.02955
-2.12097,-5.27442
-2.57502,-5.497
-2.54153,-5.49676
-3.06453,-5.41685
-3.63524,-5.33252
-3.63211,-5.33295
-3.65106,-5.3675
-3.90662,-5.98809
-4.15681,-6.56448
-4.16748,-6.59152
-4.59848,-6.87087
-4.76857,-6.98269
-4.763,-7.03036
-4.68191,-7.0744
-4.71034,-7.08083
-4.33503,-6.58457
-3.94305,-6.06854
-3.57067,-5.54489
-3.51239,-5.47022
-3.50179,-5.46065
-2.97567,-5.42988
-2.3689,-5.4151
-1.81253,-5.41797
-1.79933,-5.43057
-1.76835,-5.45805
-1.76854,-5.45719
-1.85095,-5.78024
-2.02671,-6.37491
-2.23388,-6.93697
-2.23993,-6.95234
-2.18085,-7.21711
-2.18167,-7.22702
-2.30894,-7.83748
-2.44697,-8.47424
-2.60224,-9.09701
-2.72826,-9.57462
-2.72743,-9.58409
-2.69661,-10.2117
-2.75055,-10.8568
-2.82661,-11.4656
-2.99789,-11.9952
-3.0333,-12.5756
-2.99872,-13.2162
-3.00761,-13.8342
-3.00371,-14.4189
-2.99053,-15.0688
-2.98747,-15.1679
-2.98646,-15.166
-2.9773,-15.1596
-3.53895,-15.3663
-3.72751,-15.4333
-3.72156,-15.4353
-4.26986,-15.2531
-4.82598,-15.127
-5.44996,-15.0044
-5.52843,-14.9921
-5.52264,-14.9982
-5.52192,-14.9947
-5.50301,-15.0052
-4.91295,-14.9382
-4.13711,-15.0609
-3.52392,-15.277
-2.97456,-15.5039
-2.71946,-15.61
-2.70713,-15.6221
-2.70716,-15.6221
-2.76037,-15.9261
-2.91317,-16.561
-3.03395,-17.071
-3.02973,-17.061
-3.01647,-17.0482
-3.37769,-17.0045
-3.97375,-16.9563
-4.55293,-16.92
-5.12929,-16.872
-5.70287,-16.8118
-6.28147,-16.7981
-6.86759,-16.7957
-6.91711,-16.7977
-6.99598,-16.8863
-6.99333,-16.8984
-6.96644,-16.9008
-6.94294,-16.8887
-7.00754,-16.5732
-7.1486,-15.951
-7.25275,-15.3463
-7.38545,-14.7771
-7.51668,-14.1765
-7.58143,-13.5734
-7.60921,-12.9342
-7.51318,-12.2997
-7.42581,-11.6655
-7.36764,-11.0207
-7.32391,-10.3781
-7.31715,-9.83915
-7.31741,-9.8379
-7.26199,-9.82371
-7.2142,-9.80403
-7.21794,-9.85662
-7.22379,-10.4437
-7.2189,-11.0793
-7.21893,-11.6789
-7.24457,-12.3031
-7.2843,-12.9325
-7.36654,-13.5464
-7.46078,-14.1685
-7.57728,-14.7787
-7.70537,-15.3927
-7.84009,-15.9988
-7.89327,-16.2535
-7.89356,-16.25
-7.83625,-16.2643
-7.22013,-16.4103
-6.58497,-16.522
-5.95475,-16.6293
-5.32106,-16.7212
-4.6651,-16.8035
-4.03569,-16.8905
-3.37324,-16.9945
-3.04249,-17.0326
-3.01067,-17.0316
-3.00519,-16.9457
-3.00222,-16.3432
-2.96436,-15.7664
-2.93968,-15.1402
-2.93774,-14.514
-2.83786,-13.8963
-2.77114,-13.2669
-2.79235,-12.6519
-2.73898,-12.019
-2.71789,-11.3966
-2.73215,-10.7715
-2.76647,-10.1794
-2.65523,-9.5846
-2.5496,-9.01895
-2.46706,-8.42627
-2.33245,-7.81221
-2.22277,-7.18446
-2.13853,-6.56011
-2.07637,-5.93995
-1.94692,-5.32845
-1.83103,-4.72016
-1.76563,-4.12145
-1.68754,-3.41157
-1.52829,-2.82017
-1.48808,-2.28807
-1.4677,-1.73542
-1.47636,-1.14519
-1.43039,-0.495786
-1.45127,0.097879
-1.1998,0.190967
-1.13936,0.0556042
-1.20687,0.0306557
-0.636151,0.077616
-0.00781466,-0.0127775
0.0966913,-0.0361816
0.0966892,-0.0362539
